Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,6,1,    39.4,    20.0,    31.4,    36.8,    26.0,    28.7,    23.1,     3.3,    50.4
Pulau Ubin,2023,6,2,     0.0,     0.0,     0.0,     0.0,    28.8,    34.7,    24.2,     3.3,    20.6
Pulau Ubin,2023,6,3,     3.0,     1.4,     1.4,     2.6,    28.1,    33.4,    26.3,     2.4,    18.0
Pulau Ubin,2023,6,4,    10.0,     3.8,     6.2,     6.8,    26.3,    30.8,    24.1,     2.5,    27.0
Pulau Ubin,2023,6,5,     0.0,     0.0,     0.0,     0.0,    28.5,    34.0,    24.4,     3.0,    17.2
Pulau Ubin,2023,6,6,     0.0,     0.0,     0.0,     0.0,    27.6,    31.6,    26.0,     2.8,    17.6
Pulau Ubin,2023,6,7,     0.0,     0.0,     0.0,     0.0,    28.3,    32.5,    25.9,     3.4,    19.4
Pulau Ubin,2023,6,8,     1.2,     1.2,     1.2,     1.2,    28.6,    33.0,    25.3,     3.4,    23.3
Pulau Ubin,2023,6,9,     2.2,     2.2,     2.2,     2.2,    28.9,    33.6,    26.0,     3.6,    18.7
Pulau Ubin,2023,6,10,     0.0,     0.0,     0.0,     2.2,    28.6,    33.7,    25.8,     3.8,    23.0
Pulau Ubin,2023,6,11,     2.8,     2.8,     2.8,     2.8,    28.9,    33.1,    26.0,     3.6,    26.7
Pulau Ubin,2023,6,12,    26.0,    10.2,    14.2,    20.0,    26.8,    30.4,    24.2,     3.2,    27.8
Pulau Ubin,2023,6,13,     0.2,     0.2,     0.2,     0.2,    28.3,    33.6,    24.7,     3.8,    24.1
Pulau Ubin,2023,6,14,     6.4,     3.2,     5.8,     6.2,    27.2,    30.6,    24.9,     2.4,    16.9
Pulau Ubin,2023,6,15,     2.0,     1.8,     2.0,     2.0,    27.5,    32.7,    25.1,     2.9,    15.7
Pulau Ubin,2023,6,16,     0.2,     0.2,     0.2,     0.2,    29.0,    33.6,    25.4,     3.4,    18.0
Pulau Ubin,2023,6,17,     0.0,     0.0,     0.0,     0.0,    28.9,    33.6,    26.6,     3.1,    18.3
Pulau Ubin,2023,6,18,     9.2,     5.6,     7.4,     8.8,    27.1,    31.2,    22.7,     2.6,    29.8
Pulau Ubin,2023,6,19,    16.0,    14.6,    16.0,    16.0,    27.7,    33.0,    25.0,     3.1,    24.4
Pulau Ubin,2023,6,20,     0.0,     0.0,     0.0,     0.0,    28.7,    34.1,    25.5,     3.2,    22.0
Pulau Ubin,2023,6,21,     0.0,     0.0,     0.0,     0.0,    29.4,    33.4,    25.9,     3.8,    19.8
Pulau Ubin,2023,6,22,     0.0,     0.0,     0.0,     0.0,    29.2,    33.6,    25.9,     3.3,    17.6
Pulau Ubin,2023,6,23,    17.0,    12.8,    13.0,    16.6,    27.6,    33.6,    24.3,     3.0,    20.6
Pulau Ubin,2023,6,24,     1.0,     0.8,     0.8,     0.8,    27.4,    32.8,    23.6,     3.1,    22.4
Pulau Ubin,2023,6,25,     0.0,     0.0,     0.0,     0.0,    28.3,    33.5,    24.8,     3.1,    15.6
Pulau Ubin,2023,6,26,    11.2,     9.6,    10.6,    11.0,    27.3,    32.0,    23.2,     3.6,    27.4
Pulau Ubin,2023,6,27,    36.6,    18.6,    20.0,    25.6,    26.7,    32.8,    23.1,     2.9,    25.2
Pulau Ubin,2023,6,28,     1.2,     0.8,     1.0,     1.0,    27.4,    32.5,    24.6,     2.9,    18.0
Pulau Ubin,2023,6,29,     0.0,     0.0,     0.0,     0.0,    28.8,    33.5,    25.7,     3.8,    22.4
Pulau Ubin,2023,6,30,     6.8,     3.4,     5.4,     6.8,    27.2,    30.8,    24.7,     2.7,    22.6
