Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,2,1,     0.0,     0.0,     0.0,     0.0,    26.3,    30.3,    23.8,     6.1,    27.0
Pulau Ubin,2023,2,2,     0.0,     0.0,     0.0,     0.0,    26.9,    31.3,    24.1,     6.3,    23.3
Pulau Ubin,2023,2,3,     5.4,     4.0,     4.6,     4.6,    26.2,    31.4,    22.6,     4.5,    27.8
Pulau Ubin,2023,2,4,    32.6,     7.8,    12.8,    15.2,    24.3,    27.1,    23.1,     4.0,    21.3
Pulau Ubin,2023,2,5,     3.6,     2.0,     2.0,     2.0,    25.9,    30.8,    24.1,     4.7,    23.7
Pulau Ubin,2023,2,6,     0.0,     0.0,     0.0,     0.0,    26.4,    31.2,    23.9,     4.3,    23.3
Pulau Ubin,2023,2,7,     0.0,     0.0,     0.0,     0.0,    26.6,    31.1,    23.4,     6.1,    25.2
Pulau Ubin,2023,2,8,     0.0,     0.0,     0.0,     0.0,    27.1,    31.6,    24.7,     7.4,    27.4
Pulau Ubin,2023,2,9,     0.0,     0.0,     0.0,     0.0,    27.2,    30.8,    24.9,     6.3,    22.6
Pulau Ubin,2023,2,10,     4.8,     2.2,     2.6,     4.2,    26.8,    32.1,    24.7,     4.6,    18.0
Pulau Ubin,2023,2,11,     0.2,     0.2,     0.2,     0.2,    27.2,    30.8,    25.0,     6.4,    23.0
Pulau Ubin,2023,2,12,    59.6,    21.8,    24.0,    35.4,    25.2,    31.0,    22.2,     3.7,    31.7
Pulau Ubin,2023,2,13,     0.4,     0.4,     0.4,     0.4,    26.1,    31.8,    23.0,     3.3,    16.9
Pulau Ubin,2023,2,14,    19.2,    11.4,    12.4,    15.8,    26.1,    30.2,    24.2,     3.7,    21.7
Pulau Ubin,2023,2,15,     8.2,     7.2,     8.0,     8.0,    25.5,    28.9,    22.6,     5.6,    25.9
Pulau Ubin,2023,2,16,     0.0,     0.0,     0.0,     0.0,    26.2,    30.4,    22.5,     6.0,    24.4
Pulau Ubin,2023,2,17,     0.0,     0.0,     0.0,     0.0,    26.4,    30.8,    22.5,     5.8,    26.3
Pulau Ubin,2023,2,18,     0.0,     0.0,     0.0,     0.0,    27.2,    31.4,    24.4,     7.1,    29.1
Pulau Ubin,2023,2,19,     0.0,     0.0,     0.0,     0.0,    27.4,    31.9,    24.7,     6.9,    29.4
Pulau Ubin,2023,2,20,     0.6,     0.2,     0.2,     0.4,    26.5,    31.2,    24.4,     5.7,    23.3
Pulau Ubin,2023,2,21,     0.0,     0.0,     0.0,     0.0,    26.8,    31.1,    23.6,     7.6,    30.2
Pulau Ubin,2023,2,22,     0.0,     0.0,     0.0,     0.0,    27.0,    30.9,    24.3,     7.3,    26.7
Pulau Ubin,2023,2,23,     0.0,     0.0,     0.0,     0.0,    27.3,    31.2,    24.9,     8.0,    26.3
Pulau Ubin,2023,2,24,     0.0,     0.0,     0.0,     0.0,    27.5,    31.4,    24.5,     8.1,    29.8
Pulau Ubin,2023,2,25,     0.0,     0.0,     0.0,     0.0,    26.7,    30.8,    23.6,     7.5,    27.8
Pulau Ubin,2023,2,26,     7.4,     3.6,     5.2,     7.4,    26.9,    30.8,    24.2,    10.8,    36.7
Pulau Ubin,2023,2,27,     6.8,     3.6,     5.0,     9.2,    26.4,    30.5,    24.1,     9.3,    40.7
Pulau Ubin,2023,2,28,   162.4,    29.6,    41.4,    49.0,    24.6,    28.1,    22.4,     5.8,    26.7
