Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,1,1,     0.0,     0.0,     0.0,     0.0,    26.7,    30.7,    24.5,     5.6,    24.1
Pulau Ubin,2023,1,2,     0.0,     0.0,     0.0,     0.0,    27.0,    31.5,    24.3,     7.1,    25.2
Pulau Ubin,2023,1,3,     4.6,     4.6,     4.6,     4.6,    26.8,    31.4,    24.4,     5.9,    23.0
Pulau Ubin,2023,1,4,     4.8,     3.0,     3.8,     3.8,    25.9,    28.6,    23.5,     6.1,    25.6
Pulau Ubin,2023,1,5,     1.2,     0.8,     1.2,     1.2,    26.3,    31.6,    24.1,     3.6,    20.6
Pulau Ubin,2023,1,6,     0.0,     0.0,     0.0,     0.0,    27.5,    33.6,    23.9,     4.2,    16.5
Pulau Ubin,2023,1,7,     0.2,     0.2,     0.2,     0.2,    27.0,    32.6,    24.7,     4.2,    18.3
Pulau Ubin,2023,1,8,     0.0,     0.0,     0.0,     0.0,    27.6,    33.8,    24.2,     4.7,    23.3
Pulau Ubin,2023,1,9,    10.2,    10.0,    10.2,    10.2,    26.4,    32.2,    24.3,     3.3,    19.1
Pulau Ubin,2023,1,10,     0.0,     0.0,     0.0,     0.0,    26.6,    32.4,    24.3,     3.0,    18.0
Pulau Ubin,2023,1,11,     0.4,     0.2,     0.4,     0.4,    25.3,    29.6,    23.8,     2.8,    29.1
Pulau Ubin,2023,1,12,     0.0,     0.0,     0.0,     0.0,    27.0,    33.1,    23.4,     3.7,    17.6
Pulau Ubin,2023,1,13,    17.0,    14.2,    16.2,    16.8,    26.0,    32.2,    23.1,     2.7,    26.3
Pulau Ubin,2023,1,14,    10.6,     8.0,     9.0,    10.6,    26.2,    32.6,    23.8,     2.8,    24.8
Pulau Ubin,2023,1,15,     7.8,     5.8,     7.6,     7.8,    26.3,    31.9,    24.0,     3.1,    19.1
Pulau Ubin,2023,1,16,     0.0,     0.0,     0.0,     0.0,    26.9,    30.6,    23.9,     5.4,    26.3
Pulau Ubin,2023,1,17,     0.0,     0.0,     0.0,     0.0,    27.4,    31.9,    23.8,     6.9,    24.4
Pulau Ubin,2023,1,18,     0.0,     0.0,     0.0,     0.0,    26.8,    31.2,    23.8,     6.8,    29.4
Pulau Ubin,2023,1,19,     9.4,     5.8,     6.6,     8.2,    25.9,    29.1,    24.1,     6.3,    28.5
Pulau Ubin,2023,1,20,    21.2,     6.0,     7.6,    12.2,    25.4,    28.0,    23.8,     5.1,    25.2
Pulau Ubin,2023,1,21,     0.0,     0.6,     0.6,     1.4,    26.9,    31.7,    24.0,     5.7,    27.8
Pulau Ubin,2023,1,22,    10.2,     3.2,     5.2,     5.2,    26.2,    30.5,    24.2,     3.9,    27.8
Pulau Ubin,2023,1,23,    33.8,     6.6,     8.8,    13.8,    25.1,    27.7,    24.0,     3.5,    16.9
Pulau Ubin,2023,1,24,    45.0,     3.2,     5.8,    10.4,    23.7,    24.9,    22.5,     4.0,    17.2
Pulau Ubin,2023,1,25,    67.2,    17.4,    27.0,    35.8,    23.6,    24.6,    22.6,     5.9,    30.6
Pulau Ubin,2023,1,26,-,-,-,-,-,-,-,-,-
Pulau Ubin,2023,1,27,     0.0,     0.0,     0.0,     0.0,    26.7,    31.3,    23.2,     6.5,    27.0
Pulau Ubin,2023,1,28,    11.4,     2.0,     3.0,     4.2,    23.9,    24.8,    23.3,     6.8,    28.9
Pulau Ubin,2023,1,29,    19.2,     2.6,     4.6,     8.6,    24.1,    25.7,    22.5,    10.2,    37.0
Pulau Ubin,2023,1,30,     2.2,     1.6,     1.6,     1.6,    25.4,    29.0,    23.6,     8.9,    35.6
Pulau Ubin,2023,1,31,    17.4,     7.4,     8.4,    12.8,    24.6,    26.9,    23.5,     6.3,    28.2
