Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,5,1,     0.0,     0.0,     0.0,     0.0,    28.7,    34.1,    24.9,     3.8,    22.0
Pulau Ubin,2023,5,2,     0.6,     0.6,     0.6,     0.6,    29.1,    33.8,    25.7,     3.7,    18.7
Pulau Ubin,2023,5,3,     0.0,     0.0,     0.0,     0.0,    28.0,    34.2,    26.1,     3.3,    21.3
Pulau Ubin,2023,5,4,     0.0,     0.0,     0.0,     0.0,    28.2,    34.2,    25.3,     3.3,    20.2
Pulau Ubin,2023,5,5,     0.6,     0.6,     0.6,     0.6,    28.1,    34.1,    25.2,     3.3,    23.0
Pulau Ubin,2023,5,6,     0.2,     0.2,     0.2,     0.2,    29.0,    34.2,    24.6,     4.0,    23.0
Pulau Ubin,2023,5,7,     6.6,     2.6,     5.0,     6.0,    27.7,    30.7,    25.3,     4.3,    32.0
Pulau Ubin,2023,5,8,     0.8,     0.8,     0.8,     0.8,    29.4,    34.6,    26.1,     4.6,    23.7
Pulau Ubin,2023,5,9,     0.0,     0.0,     0.0,     0.0,    29.3,    34.5,    26.3,     4.1,    20.6
Pulau Ubin,2023,5,10,     0.0,     0.0,     0.0,     0.0,    30.3,    34.2,    27.6,     4.4,    21.7
Pulau Ubin,2023,5,11,     0.2,     0.2,     0.2,     0.2,    29.8,    34.1,    27.3,     3.7,    20.6
Pulau Ubin,2023,5,12,     0.0,     0.0,     0.0,     0.0,    29.9,    35.0,    26.5,     4.1,    18.3
Pulau Ubin,2023,5,13,     0.0,     0.0,     0.0,     0.0,    29.8,    35.4,    25.9,     3.1,    19.1
Pulau Ubin,2023,5,14,    15.6,    12.8,    15.4,    15.6,    28.5,    35.1,    24.4,     3.1,    20.6
Pulau Ubin,2023,5,15,     0.0,     0.0,     0.0,     0.0,    27.9,    33.7,    25.2,     3.3,    28.5
Pulau Ubin,2023,5,16,     5.4,     3.4,     4.6,     4.6,    26.6,    31.4,    23.2,     3.4,    27.8
Pulau Ubin,2023,5,17,    22.0,    12.0,    15.6,    21.4,    26.6,    33.8,    23.6,     2.3,    27.8
Pulau Ubin,2023,5,18,     0.0,     0.0,     0.0,     0.0,    28.6,    34.4,    24.9,     3.6,    21.3
Pulau Ubin,2023,5,19,     3.0,     1.2,     1.6,     1.8,    27.8,    32.9,    25.1,     2.9,    18.7
Pulau Ubin,2023,5,20,     0.0,     0.0,     0.0,     0.0,    28.5,    32.6,    26.3,     3.1,    23.3
Pulau Ubin,2023,5,21,    11.6,    11.0,    11.0,    11.0,    26.2,    27.8,    22.7,     2.3,    27.4
Pulau Ubin,2023,5,22,     0.0,     0.0,     0.0,     0.0,    28.8,    34.6,    25.1,     3.3,    22.6
Pulau Ubin,2023,5,23,     0.0,     0.0,     0.0,     0.0,    28.5,    32.8,    25.2,     4.1,    31.3
Pulau Ubin,2023,5,24,     0.0,     0.0,     0.0,     0.0,    29.4,    34.1,    26.2,     3.9,    18.7
Pulau Ubin,2023,5,25,     0.0,     0.0,     0.0,     0.0,    29.1,    33.4,    27.1,     3.6,    23.0
Pulau Ubin,2023,5,26,    58.0,    34.4,    49.0,    57.0,    27.8,    31.4,    24.4,     3.1,    30.6
Pulau Ubin,2023,5,27,     2.4,     2.2,     2.4,     2.4,    27.9,    33.4,    25.4,     2.5,    16.5
Pulau Ubin,2023,5,28,     0.0,     0.0,     0.0,     0.0,    28.6,    33.5,    25.4,     3.3,    19.1
Pulau Ubin,2023,5,29,     4.6,     4.4,     4.6,     4.6,    29.1,    34.2,    24.5,     3.7,    24.4
Pulau Ubin,2023,5,30,     0.0,     0.0,     0.0,     0.0,    28.7,    34.1,    26.3,     3.6,    19.8
Pulau Ubin,2023,5,31,     0.0,     0.0,     0.0,     0.0,    29.9,    34.3,    27.1,     4.4,    19.4
