Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,4,1,    71.4,    49.6,    66.2,    70.6,    26.8,    32.6,    23.1,     3.4,    27.8
Pulau Ubin,2023,4,2,     1.2,     0.6,     0.6,     0.6,    27.0,    32.6,    23.7,     2.8,    21.7
Pulau Ubin,2023,4,3,    25.0,    13.0,    13.4,    13.6,    25.4,    28.7,    23.7,     2.8,    18.3
Pulau Ubin,2023,4,4,     0.0,     0.0,     0.0,     0.0,    27.7,    33.8,    24.2,     3.2,    18.7
Pulau Ubin,2023,4,5,     0.0,     0.0,     0.0,     0.0,    26.3,    29.8,    24.9,     2.9,    24.8
Pulau Ubin,2023,4,6,     0.0,     0.0,     0.0,     0.0,    27.7,    32.4,    23.5,     3.4,    21.3
Pulau Ubin,2023,4,7,     5.4,     5.2,     5.2,     5.4,    26.4,    30.7,    24.1,     2.7,    16.5
Pulau Ubin,2023,4,8,     1.4,     0.8,     1.0,     1.2,    26.8,    33.8,    24.2,     2.9,    19.1
Pulau Ubin,2023,4,9,     0.0,     0.0,     0.0,     0.0,    27.8,    32.7,    24.5,     5.2,    24.4
Pulau Ubin,2023,4,10,     0.2,     0.2,     0.2,     0.2,    27.4,    33.3,    24.2,     3.0,    18.0
Pulau Ubin,2023,4,11,     0.0,     0.0,     0.0,     0.0,    28.0,    33.5,    24.4,     3.4,    19.4
Pulau Ubin,2023,4,12,     0.0,     0.0,     0.0,     0.0,    28.4,    34.4,    24.5,     3.0,    17.2
Pulau Ubin,2023,4,13,     0.4,     0.2,     0.4,     0.4,    27.8,    33.3,    24.5,     2.7,    22.0
Pulau Ubin,2023,4,14,     7.4,     7.2,     7.4,     7.4,    28.1,    34.1,    24.7,     3.7,    18.7
Pulau Ubin,2023,4,15,     0.4,     0.4,     0.4,     0.4,    28.5,    34.3,    25.2,     2.9,    17.6
Pulau Ubin,2023,4,16,    11.6,     8.6,     8.8,     8.8,    26.5,    32.9,    23.2,     2.8,    46.1
Pulau Ubin,2023,4,17,     8.2,     6.4,     6.4,     8.2,    27.3,    33.9,    25.1,     3.2,    27.8
Pulau Ubin,2023,4,18,     0.0,     0.0,     0.0,     0.0,    28.9,    34.5,    25.6,     3.1,    20.6
Pulau Ubin,2023,4,19,     8.8,     8.2,     8.8,     8.8,    27.9,    32.6,    25.5,     2.8,    18.0
Pulau Ubin,2023,4,20,     0.0,     0.0,     0.0,     0.0,    26.9,    30.5,    24.3,     3.2,    38.5
Pulau Ubin,2023,4,21,     0.6,     0.4,     0.4,     0.4,    27.9,    33.6,    24.8,     2.8,    16.5
Pulau Ubin,2023,4,22,     0.0,     0.0,     0.0,     0.0,    28.4,    35.0,    25.6,     2.7,    22.4
Pulau Ubin,2023,4,23,     0.0,     0.0,     0.0,     0.0,    28.9,    33.9,    26.0,     3.4,    25.6
Pulau Ubin,2023,4,24,     0.0,     0.0,     0.0,     0.0,    28.9,    34.0,    25.7,     3.7,    17.2
Pulau Ubin,2023,4,25,     1.6,     1.6,     1.6,     1.6,    27.6,    32.6,    25.9,     2.2,    23.3
Pulau Ubin,2023,4,26,     0.0,     0.0,     0.0,     0.0,    28.7,    34.1,    25.1,     3.8,    19.4
Pulau Ubin,2023,4,27,     0.4,     0.2,     0.2,     0.2,    28.2,    32.7,    26.0,     2.7,    18.7
Pulau Ubin,2023,4,28,     9.6,     9.4,     9.4,     9.6,    27.1,    32.5,    24.6,     2.3,    23.0
Pulau Ubin,2023,4,29,    11.8,    10.0,    11.8,    11.8,    27.6,    34.3,    24.7,     3.0,    21.7
Pulau Ubin,2023,4,30,    53.0,    21.6,    34.4,    52.6,    26.9,    31.7,    24.7,     2.5,    20.6
